venue,result_type,count
Sharjah Cricket Stadium,Chase Win,18
Sheikh Zayed Stadium,Bat First Win,11
Sheikh Zayed Stadium,Chase Win,18
St George's Park,Bat First Win,3
St George's Park,Chase Win,4
Subrata Roy Sahara Stadium,Bat First Win,10
Subrata Roy Sahara Stadium,Chase Win,6
SuperSport Park,Bat First Win,4
SuperSport Park,Chase Win,8
"Vidarbha Cricket Association Stadium, Jamtha",Bat First Win,2
"Vidarbha Cricket Association Stadium, Jamtha",Chase Win,1
Wankhede Stadium,Bat First Win,35
Wankhede Stadium,Chase Win,38
"Wankhede Stadium, Mumbai",Bat First Win,25
"Wankhede Stadium, Mumbai",Chase Win,34
"Zayed Cricket Stadium, Abu Dhabi",Bat First Win,3
"Zayed Cricket Stadium, Abu Dhabi",Chase Win,5
