striker,phase,season,runs,balls,strike_rate
Shakib Al Hasan,Middle,2021,31,28,110.71
Shakib Al Hasan,Powerplay,2016,3,12,25.0
Shakib Al Hasan,Powerplay,2018,32,22,145.45
Shashank Singh,Death,2022,47,32,146.88
Shashank Singh,Death,2024,135,61,221.31
Shashank Singh,Death,2025,242,126,192.06
Shashank Singh,Death,2026,88,43,204.65
Shashank Singh,Middle,2022,22,15,146.67
Shashank Singh,Middle,2024,185,129,143.41
Shashank Singh,Middle,2025,108,102,105.88
Shashank Singh,Middle,2026,44,27,162.96
Shashank Singh,Powerplay,2024,34,25,136.0
Shivam Mavi,Death,2018,13,15,86.67
Shivam Mavi,Death,2021,35,34,102.94
Shivang Kumar,Death,2026,40,28,142.86
Shivang Kumar,Middle,2026,12,17,70.59
Shoaib Malik,Middle,2008,26,26,100.0
Shoaib Malik,Powerplay,2008,17,13,130.77
Shubman Gill,Death,2018,75,48,156.25
Shubman Gill,Death,2019,47,42,111.9
Shubman Gill,Death,2021,39,37,105.41
Shubman Gill,Death,2022,52,34,152.94
Shubman Gill,Death,2023,104,54,192.59
Shubman Gill,Death,2024,53,29,182.76
Shubman Gill,Death,2025,66,33,200.0
Shubman Gill,Death,2026,37,25,148.0
Shubman Gill,Middle,2018,104,75,138.67
Shubman Gill,Middle,2019,148,103,143.69
Shubman Gill,Middle,2021,336,299,112.37
Shubman Gill,Middle,2022,216,148,145.95
Shubman Gill,Middle,2023,429,272,157.72
Shubman Gill,Middle,2024,179,112,159.82
Shubman Gill,Middle,2025,301,184,163.59
Shubman Gill,Middle,2026,365,215,169.77
Shubman Gill,Powerplay,2018,24,16,150.0
Shubman Gill,Powerplay,2019,100,92,108.7
Shubman Gill,Powerplay,2021,542,437,124.03
Shubman Gill,Powerplay,2022,211,180,117.22
Shubman Gill,Powerplay,2023,352,234,150.43
Shubman Gill,Powerplay,2024,194,148,131.08
Shubman Gill,Powerplay,2025,282,197,143.15
Shubman Gill,Powerplay,2026,330,209,157.89
Sikandar Raza,Death,2023,47,34,138.24
Sikandar Raza,Middle,2023,84,57,147.37
Sikandar Raza,Middle,2024,43,36,119.44
Sohail Tanvir,Death,2008,11,10,110.0
Sohail Tanvir,Middle,2008,11,10,110.0
Sumit Kumar,Death,2024,2,10,20.0
Sumit Kumar,Middle,2024,16,12,133.33
Sunny Singh,Middle,2011,21,14,150.0
Suryansh Shedge,Death,2026,40,22,181.82
Suryansh Shedge,Middle,2026,102,59,172.88
Swapnil Singh,Death,2024,22,12,183.33
Swapnil Singh,Middle,2017,10,17,58.82
T Banton,Powerplay,2021,18,20,90.0
T Dahiya,Death,2026,11,12,91.67
T Kohler-Cadmore,Powerplay,2024,47,51,92.16
T Kohli,Powerplay,2008,7,12,58.33
T Stubbs,Death,2023,16,15,106.67
T Stubbs,Death,2024,246,95,258.95
T Stubbs,Death,2025,169,87,194.25
T Stubbs,Death,2026,107,75,142.67
T Stubbs,Middle,2023,9,16,56.25
T Stubbs,Middle,2024,116,94,123.4
T Stubbs,Middle,2025,129,109,118.35
T Stubbs,Middle,2026,140,113,123.89
T Stubbs,Powerplay,2026,28,28,100.0
T Taibu,Middle,2008,19,18,105.56
T Thushara,Death,2010,10,11,90.91
TA Boult,Death,2022,40,29,137.93
TA Boult,Death,2024,14,16,87.5
TD Paine,Powerplay,2011,10,26,38.46
TG Southee,Death,2016,27,14,192.86
TG Southee,Death,2018,46,33,139.39
TG Southee,Middle,2018,6,13,46.15
TH David,Death,2022,147,62,237.1
TH David,Death,2023,187,103,181.55
TH David,Death,2024,198,111,178.38
TH David,Death,2025,132,71,185.92
TH David,Death,2026,167,76,219.74
TH David,Middle,2022,39,24,162.5
TH David,Middle,2023,44,42,104.76
TH David,Middle,2024,36,39,92.31
TH David,Middle,2025,45,28,160.71
TH David,Middle,2026,137,83,165.06
TK Curran,Death,2018,11,15,73.33
TK Curran,Death,2021,58,35,165.71
TK Curran,Middle,2018,12,13,92.31
TK Curran,Middle,2021,46,44,104.55
TL Seifert,Powerplay,2022,24,19,126.32
TL Seifert,Powerplay,2026,19,18,105.56
TL Suman,Death,2009,29,24,120.83
TL Suman,Death,2010,98,67,146.27
TL Suman,Death,2011,17,15,113.33
TL Suman,Middle,2009,128,105,121.9
TL Suman,Middle,2010,167,143,116.78
TL Suman,Middle,2011,39,26,150.0
TL Suman,Middle,2013,13,12,108.33
TL Suman,Powerplay,2009,80,61,131.15
TL Suman,Powerplay,2010,42,45,93.33
TL Suman,Powerplay,2011,9,10,90.0
TL Suman,Powerplay,2012,15,19,78.95
TL Suman,Powerplay,2013,39,46,84.78
TM Dilshan,Death,2008,32,15,213.33
TM Dilshan,Death,2009,92,53,173.58
TM Dilshan,Death,2011,20,11,181.82
TM Dilshan,Death,2012,47,35,134.29
TM Dilshan,Middle,2008,62,54,114.81
TM Dilshan,Middle,2009,171,185,92.43
TM Dilshan,Middle,2010,8,13,61.54
TM Dilshan,Middle,2011,69,65,106.15
TM Dilshan,Middle,2012,131,115,113.91
TM Dilshan,Middle,2013,22,16,137.5
TM Dilshan,Powerplay,2009,151,101,149.5
TM Dilshan,Powerplay,2010,36,40,90.0
TM Dilshan,Powerplay,2011,137,104,131.73
TM Dilshan,Powerplay,2012,99,109,90.83
TM Dilshan,Powerplay,2013,53,76,69.74
TM Head,Death,2016,43,28,153.57
TM Head,Death,2017,56,27,207.41
TM Head,Middle,2016,10,11,90.91
TM Head,Middle,2017,85,64,132.81
TM Head,Middle,2024,165,103,160.19
TM Head,Middle,2025,113,69,163.77
TM Head,Middle,2026,73,43,169.77
TM Head,Powerplay,2017,10,17,58.82
TM Head,Powerplay,2024,398,191,208.38
TM Head,Powerplay,2025,260,157,165.61
TM Head,Powerplay,2026,337,197,171.07
TR Birt,Death,2011,60,36,166.67
TR Birt,Middle,2011,15,21,71.43
TU Deshpande,Death,2021,21,12,175.0
TU Deshpande,Death,2026,26,13,200.0
Tanush Kotian,Middle,2024,6,11,54.55
Tanush Kotian,Powerplay,2024,18,20,90.0
Tilak Varma,Death,2022,98,61,160.66
Tilak Varma,Death,2023,125,60,208.33
Tilak Varma,Death,2024,73,42,173.81
Tilak Varma,Death,2025,92,49,187.76
Tilak Varma,Death,2026,154,60,256.67
Tilak Varma,Middle,2022,280,214,130.84
Tilak Varma,Middle,2023,167,131,127.48
Tilak Varma,Middle,2024,302,191,158.12
Tilak Varma,Middle,2025,208,167,124.55
Tilak Varma,Middle,2026,164,141,116.31
Tilak Varma,Powerplay,2022,19,27,70.37
Tilak Varma,Powerplay,2023,50,17,294.12
Tilak Varma,Powerplay,2024,40,44,90.91
Tilak Varma,Powerplay,2025,36,29,124.14
Tilak Varma,Powerplay,2026,41,45,91.11
UBT Chand,Middle,2013,80,76,105.26
UBT Chand,Middle,2015,65,54,120.37
UBT Chand,Powerplay,2012,33,28,117.86
UBT Chand,Powerplay,2013,71,72,98.61
UBT Chand,Powerplay,2015,14,20,70.0
UT Khawaja,Middle,2016,20,25,80.0
UT Khawaja,Powerplay,2016,107,74,144.59
UT Yadav,Death,2013,38,38,100.0
UT Yadav,Death,2015,29,14,207.14
UT Yadav,Death,2017,10,13,76.92
UT Yadav,Death,2019,25,22,113.64
UT Yadav,Death,2022,54,38,142.11
UT Yadav,Death,2023,18,17,105.88
UT Yadav,Death,2024,12,14,85.71
Umar Gul,Death,2008,39,19,205.26
Urvil Patel,Middle,2025,26,11,236.36
Urvil Patel,Middle,2026,27,17,158.82
Urvil Patel,Powerplay,2025,42,21,200.0
Urvil Patel,Powerplay,2026,102,47,217.02
V Kohli,Death,2008,22,13,169.23
V Kohli,Death,2009,96,60,160.0
V Kohli,Death,2010,155,86,180.23
V Kohli,Death,2011,124,59,210.17
V Kohli,Death,2012,84,46,182.61
V Kohli,Death,2013,149,75,198.67
V Kohli,Death,2014,58,32,181.25
V Kohli,Death,2015,48,21,228.57
V Kohli,Death,2016,233,106,219.81
V Kohli,Death,2017,23,22,104.55
V Kohli,Death,2018,82,44,186.36
V Kohli,Death,2019,77,33,233.33
V Kohli,Death,2021,113,66,171.21
V Kohli,Death,2022,29,26,111.54
V Kohli,Death,2023,74,40,185.0
V Kohli,Death,2024,97,50,194.0
V Kohli,Death,2025,38,24,158.33
V Kohli,Death,2026,66,27,244.44
V Kohli,Middle,2008,90,76,118.42
V Kohli,Middle,2009,129,134,96.27
V Kohli,Middle,2010,149,120,124.17
V Kohli,Middle,2011,282,241,117.01
V Kohli,Middle,2012,181,174,104.02
V Kohli,Middle,2013,329,257,128.02
V Kohli,Middle,2014,256,195,131.28
V Kohli,Middle,2015,253,191,132.46
V Kohli,Middle,2016,455,302,150.66
V Kohli,Middle,2017,134,105,127.62
V Kohli,Middle,2018,200,158,126.58
V Kohli,Middle,2019,148,123,120.33
V Kohli,Middle,2021,433,396,109.34
V Kohli,Middle,2022,152,131,116.03
V Kohli,Middle,2023,264,197,134.01
V Kohli,Middle,2024,271,198,136.87
V Kohli,Middle,2025,301,228,132.02
V Kohli,Middle,2026,248,173,143.35
V Kohli,Powerplay,2008,53,68,77.94
V Kohli,Powerplay,2009,21,25,84.0
V Kohli,Powerplay,2011,151,159,94.97
V Kohli,Powerplay,2012,99,105,94.29
V Kohli,Powerplay,2013,158,122,129.51
V Kohli,Powerplay,2014,45,67,67.16
V Kohli,Powerplay,2015,204,174,117.24
V Kohli,Powerplay,2016,278,229,121.4
V Kohli,Powerplay,2017,151,125,120.8
V Kohli,Powerplay,2018,247,177,139.55
V Kohli,Powerplay,2019,239,171,139.77
V Kohli,Powerplay,2021,323,259,124.71
V Kohli,Powerplay,2022,160,137,116.79
V Kohli,Powerplay,2023,301,220,136.82
V Kohli,Powerplay,2024,373,231,161.47
V Kohli,Powerplay,2025,318,202,157.43
V Kohli,Powerplay,2026,360,206,174.76
V Nigam,Death,2025,69,38,181.58
V Nigam,Death,2026,15,10,150.0
V Nigam,Middle,2025,53,33,160.61
V Sehwag,Death,2011,26,12,216.67
V Sehwag,Death,2014,24,11,218.18
V Sehwag,Middle,2008,163,76,214.47
V Sehwag,Middle,2009,61,43,141.86
V Sehwag,Middle,2010,116,64,181.25
V Sehwag,Middle,2011,208,96,216.67
V Sehwag,Middle,2012,226,136,166.18
V Sehwag,Middle,2013,93,69,134.78
V Sehwag,Middle,2014,151,97,155.67
V Sehwag,Middle,2015,36,30,120.0
V Sehwag,Powerplay,2008,236,140,168.57
V Sehwag,Powerplay,2009,134,91,147.25
V Sehwag,Powerplay,2010,236,153,154.25
V Sehwag,Powerplay,2011,190,131,145.04
V Sehwag,Powerplay,2012,257,166,154.82
V Sehwag,Powerplay,2013,190,155,122.58
V Sehwag,Powerplay,2014,280,206,135.92
V Sehwag,Powerplay,2015,63,54,116.67
V Shankar,Death,2017,38,32,118.75
V Shankar,Death,2018,124,67,185.07
V Shankar,Death,2019,86,53,162.26
V Shankar,Death,2021,84,64,131.25
V Shankar,Death,2023,118,46,256.52
V Shankar,Death,2024,35,29,120.69
V Shankar,Death,2025,25,17,147.06
V Shankar,Middle,2017,56,36,155.56
V Shankar,Middle,2018,84,77,109.09
V Shankar,Middle,2019,144,120,120.0
V Shankar,Middle,2021,69,78,88.46
V Shankar,Middle,2023,128,108,118.52
V Shankar,Middle,2024,40,35,114.29
V Shankar,Middle,2025,69,54,127.78
V Shankar,Powerplay,2019,14,20,70.0
V Shankar,Powerplay,2022,19,34,55.88
V Shankar,Powerplay,2023,51,33,154.55
V Shankar,Powerplay,2025,23,19,121.05
V Suryavanshi,Death,2026,29,10,290.0
V Suryavanshi,Middle,2025,108,51,211.76
V Suryavanshi,Middle,2026,222,93,238.71
V Suryavanshi,Powerplay,2025,144,70,205.71
V Suryavanshi,Powerplay,2026,521,223,233.63
VG Arora,Death,2022,5,13,38.46
VH Zol,Powerplay,2014,22,21,104.76
VR Aaron,Death,2014,34,32,106.25
VR Aaron,Death,2017,4,10,40.0
VR Aaron,Death,2021,1,10,10.0
VR Iyer,Death,2023,28,22,127.27
VR Iyer,Death,2024,60,43,139.53
VR Iyer,Death,2025,53,21,252.38
VR Iyer,Death,2026,73,45,162.22
VR Iyer,Middle,2021,158,122,129.51
VR Iyer,Middle,2022,52,44,118.18
VR Iyer,Middle,2023,228,145,157.24
VR Iyer,Middle,2024,199,140,142.14
VR Iyer,Middle,2025,85,70,121.43
VR Iyer,Middle,2026,41,25,164.0
VR Iyer,Powerplay,2021,212,166,127.71
VR Iyer,Powerplay,2022,127,121,104.96
VR Iyer,Powerplay,2023,142,109,130.28
VR Iyer,Powerplay,2024,111,50,222.0
VR Iyer,Powerplay,2025,4,11,36.36
VR Iyer,Powerplay,2026,95,42,226.19
VVS Laxman,Middle,2008,74,54,137.04
VVS Laxman,Middle,2011,13,10,130.0
VVS Laxman,Powerplay,2008,78,72,108.33
VVS Laxman,Powerplay,2009,14,24,58.33
VVS Laxman,Powerplay,2010,64,60,106.67
VVS Laxman,Powerplay,2011,25,31,80.65
VY Mahesh,Death,2008,12,19,63.16
Virat Singh,Middle,2021,15,24,62.5
Vishnu Vinod,Middle,2023,34,25,136.0
Vishnu Vinod,Powerplay,2017,10,21,47.62
Vivrant Sharma,Middle,2023,42,23,182.61
Vivrant Sharma,Powerplay,2023,27,24,112.5
W Jaffer,Middle,2008,53,32,165.62
W Jaffer,Powerplay,2008,62,72,86.11
W Jaffer,Powerplay,2009,15,17,88.24
WA Mota,Death,2008,14,12,116.67
WA Mota,Death,2009,9,15,60.0
WA Mota,Middle,2008,12,15,80.0
WA Mota,Middle,2009,21,33,63.64
WD Parnell,Death,2011,32,31,103.23
WD Parnell,Death,2012,8,13,61.54
WD Parnell,Powerplay,2012,11,14,78.57
WG Jacks,Death,2026,44,19,231.58
WG Jacks,Middle,2024,123,76,161.84
WG Jacks,Middle,2025,115,92,125.0
WG Jacks,Middle,2026,47,30,156.67
WG Jacks,Powerplay,2024,73,49,148.98
WG Jacks,Powerplay,2025,117,79,148.1
WG Jacks,Powerplay,2026,47,26,180.77
WP Saha,Death,2008,73,40,182.5
WP Saha,Death,2009,60,30,200.0
WP Saha,Death,2010,37,32,115.62
WP Saha,Death,2011,27,15,180.0
WP Saha,Death,2014,90,43,209.3
WP Saha,Death,2015,65,43,151.16
WP Saha,Death,2016,67,46,145.65
WP Saha,Death,2017,63,40,157.5
WP Saha,Death,2018,24,17,141.18
WP Saha,Death,2021,31,29,106.9
WP Saha,Death,2022,15,13,115.38
WP Saha,Middle,2008,49,46,106.52
WP Saha,Middle,2009,12,11,109.09
WP Saha,Middle,2011,35,44,79.55
WP Saha,Middle,2012,6,14,42.86
WP Saha,Middle,2013,13,12,108.33
WP Saha,Middle,2014,164,125,131.2
WP Saha,Middle,2015,91,86,105.81
WP Saha,Middle,2016,147,131,112.21
WP Saha,Middle,2017,107,100,107.0
WP Saha,Middle,2018,17,11,154.55
WP Saha,Middle,2021,164,144,113.89
WP Saha,Middle,2022,85,84,101.19
WP Saha,Middle,2023,83,71,116.9
WP Saha,Middle,2024,6,10,60.0
WP Saha,Powerplay,2008,37,33,112.12
WP Saha,Powerplay,2010,22,13,169.23
WP Saha,Powerplay,2013,57,44,129.55
WP Saha,Powerplay,2014,108,81,133.33
WP Saha,Powerplay,2015,93,68,136.76
WP Saha,Powerplay,2016,56,35,160.0
WP Saha,Powerplay,2017,60,46,130.43
WP Saha,Powerplay,2018,81,74,109.46
WP Saha,Powerplay,2019,81,47,172.34
WP Saha,Powerplay,2021,150,119,126.05
WP Saha,Powerplay,2022,217,162,133.95
WP Saha,Powerplay,2023,287,214,134.11
WP Saha,Powerplay,2024,130,105,123.81
WPUJC Vaas,Death,2008,13,15,86.67
WPUJC Vaas,Death,2010,27,28,96.43
WPUJC Vaas,Middle,2009,17,12,141.67
Washington Sundar,Death,2017,9,12,75.0
Washington Sundar,Death,2018,56,27,207.41
Washington Sundar,Death,2021,49,42,116.67
Washington Sundar,Death,2022,92,57,161.4
Washington Sundar,Death,2023,46,34,135.29
Washington Sundar,Death,2025,28,17,164.71
Washington Sundar,Death,2026,199,115,173.04
Washington Sundar,Middle,2018,9,11,81.82
Washington Sundar,Middle,2021,76,75,101.33
Washington Sundar,Middle,2022,9,12,75.0
Washington Sundar,Middle,2023,14,26,53.85
Washington Sundar,Middle,2025,82,54,151.85
Washington Sundar,Middle,2026,154,121,127.27
Washington Sundar,Powerplay,2021,16,24,66.67
Washington Sundar,Powerplay,2026,20,13,153.85
X Thalaivan Sargunam,Middle,2013,8,14,57.14
XC Bartlett,Death,2026,29,13,223.08
XC Bartlett,Middle,2025,10,14,71.43
Y Gnaneswara Rao,Powerplay,2011,15,13,115.38
Y Nagar,Death,2011,60,38,157.89
Y Nagar,Death,2012,109,78,139.74
Y Nagar,Middle,2009,11,15,73.33
Y Nagar,Middle,2011,51,61,83.61
Y Nagar,Middle,2012,42,53,79.25
Y Venugopal Rao,Death,2008,136,73,186.3
Y Venugopal Rao,Death,2009,107,91,117.58
Y Venugopal Rao,Death,2011,99,56,176.79
Y Venugopal Rao,Death,2012,18,12,150.0
Y Venugopal Rao,Death,2014,20,13,153.85
Y Venugopal Rao,Middle,2008,112,93,120.43
Y Venugopal Rao,Middle,2009,17,23,73.91
Y Venugopal Rao,Middle,2010,32,39,82.05
Y Venugopal Rao,Middle,2011,226,193,117.1
Y Venugopal Rao,Middle,2012,93,94,98.94
Y Venugopal Rao,Middle,2014,42,45,93.33
Y Venugopal Rao,Powerplay,2008,35,41,85.37
Y Venugopal Rao,Powerplay,2011,11,30,36.67
Y Venugopal Rao,Powerplay,2012,21,20,105.0
YBK Jaiswal,Death,2023,47,18,261.11
YBK Jaiswal,Death,2024,17,12,141.67
YBK Jaiswal,Death,2025,24,12,200.0
YBK Jaiswal,Middle,2021,95,64,148.44
YBK Jaiswal,Middle,2022,86,70,122.86
YBK Jaiswal,Middle,2023,217,158,137.34
YBK Jaiswal,Middle,2024,136,84,161.9
YBK Jaiswal,Middle,2025,166,130,127.69
YBK Jaiswal,Middle,2026,125,92,135.87
YBK Jaiswal,Powerplay,2021,194,148,131.08
YBK Jaiswal,Powerplay,2022,167,121,138.02
YBK Jaiswal,Powerplay,2023,355,205,173.17
YBK Jaiswal,Powerplay,2024,281,182,154.4
YBK Jaiswal,Powerplay,2025,369,208,177.4
YBK Jaiswal,Powerplay,2026,302,188,160.64
YK Pathan,Death,2008,110,49,224.49
YK Pathan,Death,2009,71,33,215.15
YK Pathan,Death,2010,36,11,327.27
YK Pathan,Death,2011,108,66,163.64
YK Pathan,Death,2012,128,101,126.73
YK Pathan,Death,2013,95,66,143.94
YK Pathan,Death,2014,73,44,165.91
YK Pathan,Death,2015,125,77,162.34
YK Pathan,Death,2016,143,83,172.29
YK Pathan,Death,2017,36,24,150.0
YK Pathan,Death,2018,158,104,151.92
YK Pathan,Death,2019,38,38,100.0
YK Pathan,Middle,2008,205,117,175.21
YK Pathan,Middle,2009,127,123,103.25
YK Pathan,Middle,2010,294,180,163.33
YK Pathan,Middle,2011,171,125,136.8
YK Pathan,Middle,2012,62,60,103.33
YK Pathan,Middle,2013,176,129,136.43
YK Pathan,Middle,2014,183,113,161.95
YK Pathan,Middle,2015,171,140,122.14
YK Pathan,Middle,2016,169,140,120.71
YK Pathan,Middle,2017,86,79,108.86
YK Pathan,Middle,2018,83,81,102.47
YK Pathan,Powerplay,2008,115,73,157.53
YK Pathan,Powerplay,2009,63,31,203.23
YK Pathan,Powerplay,2013,60,44,136.36
YK Pathan,Powerplay,2015,14,12,116.67
YK Pathan,Powerplay,2016,49,25,196.0
YK Pathan,Powerplay,2017,21,12,175.0
YK Pathan,Powerplay,2018,19,15,126.67
YS Chahal,Death,2017,13,24,54.17
YS Chahal,Death,2021,11,21,52.38
YS Chahal,Middle,2019,4,12,33.33
YV Dhull,Middle,2023,14,14,100.0
YV Takawale,Death,2008,28,12,233.33
YV Takawale,Middle,2014,33,24,137.5
YV Takawale,Powerplay,2008,32,43,74.42
YV Takawale,Powerplay,2009,18,22,81.82
YV Takawale,Powerplay,2014,71,67,105.97
Yashpal Singh,Death,2009,17,13,130.77
Yashpal Singh,Middle,2009,13,17,76.47
Yashpal Singh,Powerplay,2009,17,35,48.57
Yudhvir Singh,Death,2024,19,10,190.0
Yuvraj Singh,Death,2008,109,53,205.66
Yuvraj Singh,Death,2009,66,40,165.0
Yuvraj Singh,Death,2010,86,54,159.26
Yuvraj Singh,Death,2011,125,75,166.67
Yuvraj Singh,Death,2013,76,45,168.89
Yuvraj Singh,Death,2014,146,67,217.91
Yuvraj Singh,Death,2015,77,40,192.5
Yuvraj Singh,Death,2016,75,41,182.93
Yuvraj Singh,Death,2017,111,64,173.44
Yuvraj Singh,Death,2019,20,10,200.0
Yuvraj Singh,Middle,2008,163,115,141.74
Yuvraj Singh,Middle,2009,235,209,112.44
Yuvraj Singh,Middle,2010,136,117,116.24
Yuvraj Singh,Middle,2011,211,180,117.22
Yuvraj Singh,Middle,2013,134,119,112.61
Yuvraj Singh,Middle,2014,212,185,114.59
Yuvraj Singh,Middle,2015,150,151,99.34
Yuvraj Singh,Middle,2016,155,133,116.54
Yuvraj Singh,Middle,2017,133,109,122.02
Yuvraj Singh,Middle,2018,48,52,92.31
Yuvraj Singh,Middle,2019,78,65,120.0
Yuvraj Singh,Powerplay,2008,27,16,168.75
Yuvraj Singh,Powerplay,2009,39,45,86.67
Yuvraj Singh,Powerplay,2010,36,29,124.14
Yuvraj Singh,Powerplay,2013,28,26,107.69
Yuvraj Singh,Powerplay,2014,12,22,54.55
Yuvraj Singh,Powerplay,2015,20,18,111.11
Yuvraj Singh,Powerplay,2018,14,16,87.5
Z Khan,Death,2008,29,29,100.0
Z Khan,Death,2009,8,11,72.73
Z Khan,Death,2010,24,13,184.62
Z Khan,Death,2011,18,16,112.5
Z Khan,Death,2012,12,17,70.59
Z Khan,Death,2016,6,13,46.15
Z Khan,Middle,2008,4,13,30.77
Z Khan,Middle,2017,2,11,18.18
