bowler,phase,season,runs_conceded,legal_balls,wickets,overs,economy
DR Smith,Middle,2010,5.0,6,0,1.0,5.0
DR Smith,Middle,2012,79.0,66,1,11.0,7.18
DR Smith,Middle,2013,47.0,24,2,4.0,11.75
DR Smith,Middle,2014,59.0,48,2,8.0,7.38
DR Smith,Middle,2015,17.0,12,1,2.0,8.5
DR Smith,Middle,2016,106.0,78,3,13.0,8.15
DR Smith,Middle,2017,98.0,60,1,10.0,9.8
DR Smith,Powerplay,2009,54.0,24,0,4.0,13.5
DR Smith,Powerplay,2010,24.0,12,0,2.0,12.0
DR Smith,Powerplay,2016,26.0,24,5,4.0,6.5
DR Smith,Powerplay,2017,17.0,6,0,1.0,17.0
DS Kulkarni,Death,2008,83.0,51,6,8.5,9.76
DS Kulkarni,Death,2009,8.0,12,0,2.0,4.0
DS Kulkarni,Death,2010,12.0,6,0,1.0,12.0
DS Kulkarni,Death,2011,45.0,30,2,5.0,9.0
DS Kulkarni,Death,2012,41.0,18,2,3.0,13.67
DS Kulkarni,Death,2013,44.0,36,3,6.0,7.33
DS Kulkarni,Death,2014,84.0,42,1,7.0,12.0
DS Kulkarni,Death,2015,40.0,24,3,4.0,10.0
DS Kulkarni,Death,2016,89.0,60,3,10.0,8.9
DS Kulkarni,Death,2017,31.0,18,2,3.0,10.33
DS Kulkarni,Death,2019,77.0,30,2,5.0,15.4
DS Kulkarni,Death,2021,31.0,12,0,2.0,15.5
DS Kulkarni,Middle,2008,85.0,84,5,14.0,6.07
DS Kulkarni,Middle,2009,63.0,36,1,6.0,10.5
DS Kulkarni,Middle,2011,61.0,48,3,8.0,7.62
DS Kulkarni,Middle,2013,38.0,24,2,4.0,9.5
DS Kulkarni,Middle,2014,48.0,30,1,5.0,9.6
DS Kulkarni,Middle,2015,91.0,66,4,11.0,8.27
DS Kulkarni,Middle,2016,56.0,42,1,7.0,8.0
DS Kulkarni,Middle,2017,58.0,35,1,5.83,9.95
DS Kulkarni,Middle,2018,43.0,18,2,3.0,14.33
DS Kulkarni,Middle,2019,62.0,36,1,6.0,10.33
DS Kulkarni,Middle,2021,9.0,6,0,1.0,9.0
DS Kulkarni,Powerplay,2008,68.0,42,2,7.0,9.71
DS Kulkarni,Powerplay,2009,135.0,108,4,18.0,7.5
DS Kulkarni,Powerplay,2010,28.0,18,1,3.0,9.33
DS Kulkarni,Powerplay,2011,43.0,42,1,7.0,6.14
DS Kulkarni,Powerplay,2012,23.0,30,4,5.0,4.6
DS Kulkarni,Powerplay,2013,69.0,52,3,8.67,7.96
DS Kulkarni,Powerplay,2014,89.0,90,4,15.0,5.93
DS Kulkarni,Powerplay,2015,146.0,120,6,20.0,7.3
DS Kulkarni,Powerplay,2016,219.0,192,16,32.0,6.84
DS Kulkarni,Powerplay,2017,84.0,60,0,10.0,8.4
DS Kulkarni,Powerplay,2018,141.0,96,2,16.0,8.81
DS Kulkarni,Powerplay,2019,196.0,144,3,24.0,8.17
DS Kulkarni,Powerplay,2021,30.0,24,0,4.0,7.5
DS Rathi,Death,2025,97.0,60,4,10.0,9.7
DS Rathi,Death,2026,50.0,24,1,4.0,12.5
DS Rathi,Middle,2025,208.0,162,8,27.0,7.7
DS Rathi,Middle,2026,258.0,162,2,27.0,9.56
DS Rathi,Powerplay,2025,124.0,90,2,15.0,8.27
DS Rathi,Powerplay,2026,89.0,48,2,8.0,11.12
DT Christian,Death,2011,71.0,34,3,5.67,12.52
DT Christian,Death,2012,102.0,54,2,9.0,11.33
DT Christian,Death,2013,24.0,6,0,1.0,24.0
DT Christian,Death,2017,107.0,78,4,13.0,8.23
DT Christian,Death,2018,39.0,23,4,3.83,10.18
DT Christian,Death,2021,20.0,16,0,2.67,7.49
DT Christian,Middle,2011,197.0,174,5,29.0,6.79
DT Christian,Middle,2012,54.0,54,2,9.0,6.0
DT Christian,Middle,2013,10.0,12,0,2.0,5.0
DT Christian,Middle,2017,150.0,132,8,22.0,6.82
DT Christian,Middle,2018,44.0,42,0,7.0,6.29
DT Christian,Middle,2021,120.0,78,4,13.0,9.23
DT Christian,Powerplay,2011,82.0,66,3,11.0,7.45
DT Christian,Powerplay,2012,77.0,54,5,9.0,8.56
DT Christian,Powerplay,2013,21.0,18,0,3.0,7.0
DT Christian,Powerplay,2017,41.0,30,0,5.0,8.2
DT Christian,Powerplay,2018,18.0,6,0,1.0,18.0
DT Christian,Powerplay,2021,15.0,6,0,1.0,15.0
DW Steyn,Death,2008,48.0,48,7,8.0,6.0
DW Steyn,Death,2009,25.0,18,3,3.0,8.33
DW Steyn,Death,2010,113.0,90,6,15.0,7.53
DW Steyn,Death,2011,116.0,87,7,14.5,8.0
DW Steyn,Death,2012,133.0,94,7,15.67,8.49
DW Steyn,Death,2013,157.0,137,16,22.83,6.88
DW Steyn,Death,2014,157.0,102,7,17.0,9.24
DW Steyn,Death,2015,39.0,24,1,4.0,9.75
DW Steyn,Death,2019,31.0,12,0,2.0,15.5
DW Steyn,Death,2021,58.0,22,1,3.67,15.8
DW Steyn,Middle,2008,61.0,48,4,8.0,7.62
DW Steyn,Middle,2010,95.0,102,4,17.0,5.59
DW Steyn,Middle,2011,44.0,48,1,8.0,5.5
DW Steyn,Middle,2012,27.0,42,3,7.0,3.86
DW Steyn,Middle,2013,63.0,66,1,11.0,5.73
DW Steyn,Middle,2014,98.0,66,0,11.0,8.91
DW Steyn,Middle,2015,34.0,24,1,4.0,8.5
DW Steyn,Middle,2021,25.0,12,0,2.0,12.5
DW Steyn,Powerplay,2008,143.0,132,2,22.0,6.5
DW Steyn,Powerplay,2009,37.0,36,0,6.0,6.17
DW Steyn,Powerplay,2010,198.0,162,7,27.0,7.33
DW Steyn,Powerplay,2011,139.0,138,6,23.0,6.04
DW Steyn,Powerplay,2012,125.0,144,8,24.0,5.21
DW Steyn,Powerplay,2013,179.0,210,3,35.0,5.11
DW Steyn,Powerplay,2014,176.0,168,5,28.0,6.29
DW Steyn,Powerplay,2015,97.0,66,1,11.0,8.82
DW Steyn,Powerplay,2016,17.0,12,0,2.0,8.5
DW Steyn,Powerplay,2019,38.0,36,4,6.0,6.33
DW Steyn,Powerplay,2021,50.0,36,0,6.0,8.33
E Malinga,Death,2025,85.0,58,8,9.67,8.79
E Malinga,Death,2026,175.0,98,8,16.33,10.72
E Malinga,Middle,2025,98.0,78,6,13.0,7.54
E Malinga,Middle,2026,153.0,108,7,18.0,8.5
E Malinga,Powerplay,2025,55.0,24,0,4.0,13.75
E Malinga,Powerplay,2026,179.0,120,6,20.0,8.95
F du Plessis,Death,2012,16.0,6,0,1.0,16.0
FA Allen,Middle,2021,69.0,54,1,9.0,7.67
FA Allen,Middle,2022,35.0,18,0,3.0,11.67
FA Allen,Powerplay,2021,21.0,12,0,2.0,10.5
FA Allen,Powerplay,2022,11.0,6,1,1.0,11.0
FH Edwards,Death,2009,82.0,50,2,8.33,9.84
FH Edwards,Middle,2009,14.0,12,0,2.0,7.0
FH Edwards,Powerplay,2009,58.0,78,4,13.0,4.46
FY Fazal,Death,2010,20.0,12,1,2.0,10.0
Fazalhaq Farooqi,Death,2022,48.0,18,0,3.0,16.0
Fazalhaq Farooqi,Death,2023,23.0,14,1,2.33,9.87
Fazalhaq Farooqi,Death,2025,52.0,18,0,3.0,17.33
Fazalhaq Farooqi,Middle,2022,33.0,24,1,4.0,8.25
Fazalhaq Farooqi,Middle,2023,30.0,24,1,4.0,7.5
Fazalhaq Farooqi,Middle,2025,55.0,24,0,4.0,13.75
Fazalhaq Farooqi,Powerplay,2022,29.0,30,1,5.0,5.8
Fazalhaq Farooqi,Powerplay,2023,64.0,42,2,7.0,9.14
Fazalhaq Farooqi,Powerplay,2025,103.0,60,0,10.0,10.3
G Coetzee,Death,2024,107.0,69,7,11.5,9.3
G Coetzee,Death,2025,69.0,30,0,5.0,13.8
G Coetzee,Middle,2024,115.0,66,3,11.0,10.45
G Coetzee,Middle,2025,62.0,42,2,7.0,8.86
G Coetzee,Powerplay,2024,119.0,66,3,11.0,10.82
GB Hogg,Death,2012,40.0,30,2,5.0,8.0
GB Hogg,Death,2015,43.0,36,3,6.0,7.17
GB Hogg,Death,2016,32.0,24,2,4.0,8.0
GB Hogg,Middle,2012,203.0,174,8,29.0,7.0
GB Hogg,Middle,2013,27.0,18,0,3.0,9.0
GB Hogg,Middle,2015,70.0,66,3,11.0,6.36
GB Hogg,Middle,2016,99.0,60,2,10.0,9.9
GB Hogg,Powerplay,2012,10.0,12,0,2.0,5.0
GB Hogg,Powerplay,2015,31.0,24,4,4.0,7.75
GB Hogg,Powerplay,2016,11.0,12,1,2.0,5.5
GC Viljoen,Death,2019,91.0,42,2,7.0,13.0
GC Viljoen,Middle,2019,76.0,60,3,10.0,7.6
GC Viljoen,Powerplay,2019,55.0,36,3,6.0,9.17
GD McGrath,Death,2008,118.0,78,3,13.0,9.08
GD McGrath,Middle,2008,28.0,24,2,4.0,7.0
GD McGrath,Powerplay,2008,211.0,222,9,37.0,5.7
GD Phillips,Middle,2021,20.0,12,1,2.0,10.0
GD Phillips,Middle,2023,16.0,12,0,2.0,8.0
GD Phillips,Powerplay,2023,4.0,6,1,1.0,4.0
GF Linde,Middle,2026,51.0,36,1,6.0,8.5
GH Vihari,Middle,2013,5.0,12,0,2.0,2.5
GH Vihari,Middle,2019,9.0,6,0,1.0,9.0
GH Vihari,Powerplay,2013,33.0,24,1,4.0,8.25
GHS Garton,Death,2021,17.0,18,1,3.0,5.67
GHS Garton,Middle,2021,11.0,12,1,2.0,5.5
GHS Garton,Powerplay,2021,107.0,60,1,10.0,10.7
GJ Maxwell,Death,2013,5.0,6,0,1.0,5.0
GJ Maxwell,Death,2017,18.0,18,1,3.0,6.0
GJ Maxwell,Death,2018,8.0,6,1,1.0,8.0
GJ Maxwell,Death,2021,29.0,12,0,2.0,14.5
GJ Maxwell,Death,2022,7.0,6,0,1.0,7.0
GJ Maxwell,Death,2023,17.0,8,1,1.33,12.78
GJ Maxwell,Death,2024,10.0,6,0,1.0,10.0
GJ Maxwell,Middle,2012,10.0,12,2,2.0,5.0
GJ Maxwell,Middle,2013,18.0,6,0,1.0,18.0
GJ Maxwell,Middle,2014,112.0,60,1,10.0,11.2
GJ Maxwell,Middle,2015,97.0,60,2,10.0,9.7
GJ Maxwell,Middle,2016,58.0,42,0,7.0,8.29
GJ Maxwell,Middle,2017,89.0,90,6,15.0,5.93
GJ Maxwell,Middle,2018,74.0,54,2,9.0,8.22
GJ Maxwell,Middle,2021,189.0,156,5,26.0,7.27
GJ Maxwell,Middle,2022,97.0,78,4,13.0,7.46
GJ Maxwell,Middle,2023,57.0,36,1,6.0,9.5
GJ Maxwell,Middle,2024,74.0,60,5,10.0,7.4
GJ Maxwell,Middle,2025,68.0,48,2,8.0,8.5
GJ Maxwell,Powerplay,2012,12.0,6,0,1.0,12.0
GJ Maxwell,Powerplay,2014,20.0,6,0,1.0,20.0
GJ Maxwell,Powerplay,2016,22.0,12,0,2.0,11.0
GJ Maxwell,Powerplay,2017,18.0,6,0,1.0,18.0
GJ Maxwell,Powerplay,2018,50.0,36,2,6.0,8.33
GJ Maxwell,Powerplay,2021,86.0,54,1,9.0,9.56
GJ Maxwell,Powerplay,2022,61.0,60,4,10.0,6.1
GJ Maxwell,Powerplay,2023,20.0,18,1,3.0,6.67
GJ Maxwell,Powerplay,2024,45.0,30,2,5.0,9.0
GJ Maxwell,Powerplay,2025,42.0,30,2,5.0,8.4
GR Napier,Middle,2009,24.0,18,1,3.0,8.0
GR Napier,Powerplay,2009,3.0,6,0,1.0,3.0
GS Sandhu,Death,2015,50.0,24,1,4.0,12.5
GS Sandhu,Middle,2015,25.0,18,0,3.0,8.33
GS Sandhu,Powerplay,2015,7.0,6,0,1.0,7.0
Gagandeep Singh,Death,2008,64.0,24,1,4.0,16.0
Gagandeep Singh,Middle,2008,70.0,54,2,9.0,7.78
Gagandeep Singh,Powerplay,2008,7.0,6,0,1.0,7.0
Gulbadin Naib,Middle,2024,12.0,6,0,1.0,12.0
Gurjapneet Singh,Death,2026,72.0,43,2,7.17,10.04
Gurjapneet Singh,Middle,2026,147.0,96,2,16.0,9.19
Gurjapneet Singh,Powerplay,2026,14.0,12,0,2.0,7.0
Gurkeerat Singh,Middle,2015,47.0,42,3,7.0,6.71
Gurkeerat Singh,Middle,2016,31.0,24,2,4.0,7.75
Gurkeerat Singh,Powerplay,2015,19.0,12,0,2.0,9.5
Gurnoor Brar,Middle,2023,24.0,6,0,1.0,24.0
Gurnoor Brar,Powerplay,2023,18.0,12,0,2.0,9.0
H Sharma,Middle,2023,28.0,18,0,3.0,9.33
H Sharma,Middle,2024,29.0,12,0,2.0,14.5
HF Gurney,Death,2019,110.0,54,4,9.0,12.22
HF Gurney,Middle,2019,62.0,42,1,7.0,8.86
HF Gurney,Powerplay,2019,66.0,66,2,11.0,6.0
HH Pandya,Death,2015,61.0,24,1,4.0,15.25
HH Pandya,Death,2016,38.0,24,1,4.0,9.5
HH Pandya,Death,2017,54.0,42,3,7.0,7.71
HH Pandya,Death,2018,91.0,52,8,8.67,10.5
HH Pandya,Death,2019,142.0,63,7,10.5,13.52
HH Pandya,Death,2022,46.0,27,2,4.5,10.22
HH Pandya,Death,2024,74.0,36,8,6.0,12.33
HH Pandya,Death,2025,92.0,36,4,6.0,15.33
HH Pandya,Death,2026,42.0,16,1,2.67,15.73
HH Pandya,Middle,2015,115.0,78,0,13.0,8.85
HH Pandya,Middle,2016,115.0,76,2,12.67,9.08
HH Pandya,Middle,2017,109.0,84,3,14.0,7.79
HH Pandya,Middle,2018,140.0,114,7,19.0,7.37
HH Pandya,Middle,2019,200.0,156,8,26.0,7.69
HH Pandya,Middle,2022,115.0,90,4,15.0,7.67
HH Pandya,Middle,2023,62.0,48,0,8.0,7.75
HH Pandya,Middle,2024,218.0,126,3,21.0,10.38
HH Pandya,Middle,2025,236.0,168,10,28.0,8.43
HH Pandya,Middle,2026,107.0,72,2,12.0,8.92
HH Pandya,Powerplay,2017,50.0,30,0,5.0,10.0
HH Pandya,Powerplay,2018,150.0,90,4,15.0,10.0
HH Pandya,Powerplay,2019,48.0,36,1,6.0,8.0
HH Pandya,Powerplay,2022,61.0,66,2,11.0,5.55
HH Pandya,Powerplay,2023,166.0,102,4,17.0,9.76
HH Pandya,Powerplay,2024,95.0,54,2,9.0,10.56
HH Pandya,Powerplay,2025,14.0,6,0,1.0,14.0
HH Pandya,Powerplay,2026,110.0,48,1,8.0,13.75
HR Shokeen,Death,2022,24.0,6,1,1.0,24.0
HR Shokeen,Middle,2022,77.0,60,0,10.0,7.7
HR Shokeen,Middle,2023,146.0,84,2,14.0,10.43
HR Shokeen,Powerplay,2022,26.0,24,1,4.0,6.5
HR Shokeen,Powerplay,2023,41.0,30,1,5.0,8.2
HV Patel,Death,2012,62.0,36,2,6.0,10.33
HV Patel,Death,2014,55.0,24,2,4.0,13.75
HV Patel,Death,2015,70.0,47,6,7.83,8.94
HV Patel,Death,2016,58.0,30,1,5.0,11.6
HV Patel,Death,2017,14.0,6,1,1.0,14.0
HV Patel,Death,2018,39.0,27,3,4.5,8.67
HV Patel,Death,2019,27.0,12,0,2.0,13.5
HV Patel,Death,2021,267.0,176,25,29.33,9.1
HV Patel,Death,2022,213.0,141,11,23.5,9.06
HV Patel,Death,2023,231.0,126,11,21.0,11.0
HV Patel,Death,2024,218.0,126,22,21.0,10.38
HV Patel,Death,2025,150.0,89,9,14.83,10.11
HV Patel,Death,2026,31.0,16,0,2.67,11.61
HV Patel,Middle,2012,215.0,168,7,28.0,7.68
HV Patel,Middle,2014,18.0,18,0,3.0,6.0
HV Patel,Middle,2015,136.0,120,8,20.0,6.8
HV Patel,Middle,2016,47.0,30,0,5.0,9.4
HV Patel,Middle,2017,14.0,12,2,2.0,7.0
HV Patel,Middle,2018,80.0,48,3,8.0,10.0
HV Patel,Middle,2019,44.0,30,2,5.0,8.8
HV Patel,Middle,2021,258.0,204,12,34.0,7.59
HV Patel,Middle,2022,188.0,174,10,29.0,6.48
HV Patel,Middle,2023,223.0,156,4,26.0,8.58
HV Patel,Middle,2024,188.0,126,7,21.0,8.95
HV Patel,Middle,2025,179.0,114,5,19.0,9.42
HV Patel,Middle,2026,96.0,60,0,10.0,9.6
HV Patel,Powerplay,2012,63.0,42,0,7.0,9.0
HV Patel,Powerplay,2014,40.0,24,2,4.0,10.0
HV Patel,Powerplay,2015,122.0,96,5,16.0,7.62
HV Patel,Powerplay,2016,42.0,24,1,4.0,10.5
HV Patel,Powerplay,2017,15.0,6,0,1.0,15.0
HV Patel,Powerplay,2018,48.0,30,1,5.0,9.6
HV Patel,Powerplay,2019,6.0,6,1,1.0,6.0
HV Patel,Powerplay,2021,68.0,48,1,8.0,8.5
HV Patel,Powerplay,2022,9.0,6,0,1.0,9.0
HV Patel,Powerplay,2024,71.0,42,1,7.0,10.14
HV Patel,Powerplay,2025,101.0,60,3,10.0,10.1
HV Patel,Powerplay,2026,21.0,6,0,1.0,21.0
Harbhajan Singh,Death,2008,26.0,18,4,3.0,8.67
Harbhajan Singh,Death,2009,33.0,30,4,5.0,6.6
Harbhajan Singh,Death,2010,51.0,45,4,7.5,6.8
Harbhajan Singh,Death,2011,73.0,60,8,10.0,7.3
Harbhajan Singh,Death,2012,33.0,18,0,3.0,11.0
Harbhajan Singh,Death,2013,59.0,36,3,6.0,9.83
Harbhajan Singh,Death,2014,47.0,30,2,5.0,9.4
Harbhajan Singh,Death,2016,22.0,12,0,2.0,11.0
Harbhajan Singh,Death,2019,16.0,18,3,3.0,5.33
Harbhajan Singh,Death,2021,18.0,6,0,1.0,18.0
Harbhajan Singh,Middle,2008,56.0,42,2,7.0,8.0
Harbhajan Singh,Middle,2009,173.0,192,8,32.0,5.41
Harbhajan Singh,Middle,2010,233.0,198,13,33.0,7.06
Harbhajan Singh,Middle,2011,180.0,144,2,24.0,7.5
Harbhajan Singh,Middle,2012,315.0,252,5,42.0,7.5
Harbhajan Singh,Middle,2013,307.0,306,20,51.0,6.02
Harbhajan Singh,Middle,2014,261.0,252,10,42.0,6.21
Harbhajan Singh,Middle,2015,371.0,300,15,50.0,7.42
Harbhajan Singh,Middle,2016,327.0,252,8,42.0,7.79
Harbhajan Singh,Middle,2017,213.0,186,7,31.0,6.87
Harbhajan Singh,Middle,2018,185.0,144,5,24.0,7.71
Harbhajan Singh,Middle,2019,105.0,96,6,16.0,6.56
Harbhajan Singh,Middle,2021,11.0,6,0,1.0,11.0
Harbhajan Singh,Powerplay,2009,50.0,42,1,7.0,7.14
Harbhajan Singh,Powerplay,2010,93.0,78,3,13.0,7.15
Harbhajan Singh,Powerplay,2011,117.0,114,6,19.0,6.16
Harbhajan Singh,Powerplay,2012,36.0,54,1,9.0,4.0
Harbhajan Singh,Powerplay,2013,90.0,78,2,13.0,6.92
Harbhajan Singh,Powerplay,2014,48.0,48,2,8.0,6.0
Harbhajan Singh,Powerplay,2015,75.0,42,4,7.0,10.71
Harbhajan Singh,Powerplay,2016,43.0,30,1,5.0,8.6
Harbhajan Singh,Powerplay,2017,53.0,60,1,10.0,5.3
Harbhajan Singh,Powerplay,2018,85.0,47,2,7.83,10.86
Harbhajan Singh,Powerplay,2019,191.0,150,9,25.0,7.64
Harbhajan Singh,Powerplay,2021,34.0,30,0,5.0,6.8
Harmeet Singh,Death,2009,47.0,23,2,3.83,12.27
Harmeet Singh,Death,2010,43.0,48,6,8.0,5.38
Harmeet Singh,Death,2011,15.0,6,0,1.0,15.0
Harmeet Singh,Death,2012,40.0,32,4,5.33,7.5
Harmeet Singh,Death,2013,29.0,20,1,3.33,8.71
Harmeet Singh,Middle,2009,107.0,90,1,15.0,7.13
Harmeet Singh,Middle,2010,76.0,66,2,11.0,6.91
Harmeet Singh,Middle,2011,32.0,24,1,4.0,8.0
Harmeet Singh,Middle,2012,137.0,96,3,16.0,8.56
Harmeet Singh,Middle,2013,47.0,36,4,6.0,7.83
Harmeet Singh,Powerplay,2009,38.0,24,1,4.0,9.5
Harmeet Singh,Powerplay,2010,55.0,30,2,5.0,11.0
Harmeet Singh,Powerplay,2011,6.0,12,2,2.0,3.0
Harmeet Singh,Powerplay,2012,14.0,6,0,1.0,14.0
Harmeet Singh,Powerplay,2013,11.0,12,1,2.0,5.5
Harmeet Singh (2),Middle,2013,11.0,12,1,2.0,5.5
Harmeet Singh (2),Powerplay,2013,23.0,12,0,2.0,11.5
Harpreet Brar,Death,2022,10.0,6,0,1.0,10.0
Harpreet Brar,Death,2023,51.0,25,2,4.17,12.23
Harpreet Brar,Death,2024,17.0,12,1,2.0,8.5
Harpreet Brar,Death,2025,20.0,12,0,2.0,10.0
Harpreet Brar,Middle,2019,24.0,18,0,3.0,8.0
Harpreet Brar,Middle,2021,165.0,150,5,25.0,6.6
Harpreet Brar,Middle,2022,103.0,72,4,12.0,8.58
Harpreet Brar,Middle,2023,93.0,90,7,15.0,6.2
Harpreet Brar,Middle,2024,257.0,198,6,33.0,7.79
Harpreet Brar,Middle,2025,112.0,90,8,15.0,7.47
Harpreet Brar,Middle,2026,39.0,30,1,5.0,7.8
Harpreet Brar,Powerplay,2019,24.0,12,0,2.0,12.0
Harpreet Brar,Powerplay,2021,15.0,12,0,2.0,7.5
Harpreet Brar,Powerplay,2022,33.0,18,0,3.0,11.0
Harpreet Brar,Powerplay,2023,74.0,48,0,8.0,9.25
Harpreet Brar,Powerplay,2024,29.0,18,0,3.0,9.67
Harpreet Brar,Powerplay,2025,58.0,30,2,5.0,11.6
Harpreet Brar,Powerplay,2026,21.0,18,1,3.0,7.0
Harsh Dubey,Death,2026,42.0,30,5,5.0,8.4
Harsh Dubey,Middle,2025,73.0,48,5,8.0,9.12
Harsh Dubey,Middle,2026,116.0,60,2,10.0,11.6
Harsh Dubey,Powerplay,2025,25.0,12,0,2.0,12.5
Harsh Dubey,Powerplay,2026,70.0,42,1,7.0,10.0
Harshit Rana,Death,2023,21.0,6,0,1.0,21.0
Harshit Rana,Death,2024,129.0,85,8,14.17,9.1
Harshit Rana,Death,2025,104.0,66,6,11.0,9.45
Harshit Rana,Middle,2022,28.0,18,0,3.0,9.33
Harshit Rana,Middle,2023,15.0,12,1,2.0,7.5
Harshit Rana,Middle,2024,115.0,84,8,14.0,8.21
Harshit Rana,Middle,2025,149.0,84,2,14.0,10.64
Harshit Rana,Powerplay,2022,23.0,12,1,2.0,11.5
Harshit Rana,Powerplay,2023,111.0,84,5,14.0,7.93
Harshit Rana,Powerplay,2024,139.0,84,4,14.0,9.93
Harshit Rana,Powerplay,2025,195.0,114,7,19.0,10.26
I Malhotra,Middle,2011,23.0,6,0,1.0,23.0
I Sharma,Death,2008,130.0,76,0,12.67,10.26
I Sharma,Death,2009,88.0,54,4,9.0,9.78
I Sharma,Death,2010,86.0,48,3,8.0,10.75
I Sharma,Death,2011,108.0,60,0,10.0,10.8
I Sharma,Death,2013,83.0,46,5,7.67,10.82
I Sharma,Death,2014,4.0,6,1,1.0,4.0
I Sharma,Death,2015,49.0,24,0,4.0,12.25
I Sharma,Death,2016,48.0,18,0,3.0,16.0
I Sharma,Death,2017,20.0,6,0,1.0,20.0
I Sharma,Death,2019,67.0,42,4,7.0,9.57
I Sharma,Death,2021,25.0,12,0,2.0,12.5
I Sharma,Death,2023,49.0,24,2,4.0,12.25
I Sharma,Death,2024,47.0,24,2,4.0,11.75
I Sharma,Death,2025,45.0,26,2,4.33,10.39
I Sharma,Middle,2008,12.0,18,0,3.0,4.0
I Sharma,Middle,2009,44.0,48,4,8.0,5.5
I Sharma,Middle,2010,24.0,18,2,3.0,8.0
I Sharma,Middle,2011,39.0,30,0,5.0,7.8
I Sharma,Middle,2013,109.0,84,2,14.0,7.79
I Sharma,Middle,2014,72.0,48,2,8.0,9.0
I Sharma,Middle,2015,54.0,18,0,3.0,18.0
I Sharma,Middle,2016,8.0,6,1,1.0,8.0
I Sharma,Middle,2017,52.0,24,0,4.0,13.0
I Sharma,Middle,2019,49.0,30,1,5.0,9.8
I Sharma,Middle,2021,38.0,18,0,3.0,12.67
I Sharma,Middle,2023,23.0,24,2,4.0,5.75
I Sharma,Middle,2024,51.0,30,1,5.0,10.2
I Sharma,Middle,2025,68.0,36,2,6.0,11.33
I Sharma,Powerplay,2008,187.0,159,7,26.5,7.06
I Sharma,Powerplay,2009,165.0,156,3,26.0,6.35
I Sharma,Powerplay,2010,126.0,84,2,14.0,9.0
I Sharma,Powerplay,2011,167.0,174,11,29.0,5.76
I Sharma,Powerplay,2013,274.0,228,9,38.0,7.21
I Sharma,Powerplay,2014,25.0,12,0,2.0,12.5
I Sharma,Powerplay,2015,56.0,42,1,7.0,8.0
I Sharma,Powerplay,2016,92.0,66,2,11.0,8.36
I Sharma,Powerplay,2017,107.0,78,0,13.0,8.23
I Sharma,Powerplay,2019,233.0,204,9,34.0,6.85
I Sharma,Powerplay,2021,60.0,60,1,10.0,6.0
I Sharma,Powerplay,2023,134.0,102,6,17.0,7.88
I Sharma,Powerplay,2024,167.0,108,9,18.0,9.28
I Sharma,Powerplay,2025,92.0,48,0,8.0,11.5
I Udana,Death,2021,92.0,60,3,10.0,9.2
I Udana,Middle,2021,87.0,60,3,10.0,8.7
I Udana,Powerplay,2021,103.0,54,2,9.0,11.44
IC Pandey,Death,2014,40.0,24,1,4.0,10.0
IC Pandey,Death,2015,25.0,12,1,2.0,12.5
IC Pandey,Middle,2013,24.0,12,0,2.0,12.0
IC Pandey,Middle,2014,110.0,84,3,14.0,7.86
IC Pandey,Middle,2015,88.0,66,2,11.0,8.0
IC Pandey,Powerplay,2013,26.0,12,1,2.0,13.0
IC Pandey,Powerplay,2014,168.0,144,3,24.0,7.0
IC Pandey,Powerplay,2015,110.0,108,8,18.0,6.11
IC Porel,Middle,2021,14.0,12,1,2.0,7.0
IC Porel,Powerplay,2021,25.0,12,0,2.0,12.5
IK Pathan,Death,2008,89.0,78,7,13.0,6.85
IK Pathan,Death,2009,187.0,134,13,22.33,8.37
IK Pathan,Death,2010,168.0,86,10,14.33,11.72
IK Pathan,Death,2011,94.0,59,2,9.83,9.56
IK Pathan,Death,2012,63.0,36,1,6.0,10.5
IK Pathan,Death,2013,62.0,32,1,5.33,11.63
IK Pathan,Death,2014,59.0,52,5,8.67,6.81
IK Pathan,Death,2016,16.0,6,0,1.0,16.0
IK Pathan,Death,2017,10.0,6,2,1.0,10.0
IK Pathan,Middle,2008,95.0,78,6,13.0,7.31
IK Pathan,Middle,2009,4.0,6,0,1.0,4.0
IK Pathan,Middle,2010,103.0,84,4,14.0,7.36
IK Pathan,Middle,2011,67.0,48,4,8.0,8.38
IK Pathan,Middle,2012,220.0,174,5,29.0,7.59
IK Pathan,Middle,2013,179.0,132,6,22.0,8.14
IK Pathan,Middle,2014,114.0,78,1,13.0,8.77
IK Pathan,Middle,2016,37.0,36,0,6.0,6.17
IK Pathan,Powerplay,2008,166.0,162,7,27.0,6.15
IK Pathan,Powerplay,2009,199.0,162,7,27.0,7.37
IK Pathan,Powerplay,2010,155.0,108,3,18.0,8.61
IK Pathan,Powerplay,2011,183.0,168,7,28.0,6.54
IK Pathan,Powerplay,2012,182.0,150,4,25.0,7.28
IK Pathan,Powerplay,2013,141.0,144,4,24.0,5.88
IK Pathan,Powerplay,2014,32.0,12,0,2.0,16.0
IK Pathan,Powerplay,2016,8.0,6,0,1.0,8.0
IK Pathan,Powerplay,2017,16.0,6,0,1.0,16.0
IS Sodhi,Death,2018,2.0,6,0,1.0,2.0
IS Sodhi,Middle,2018,133.0,132,5,22.0,6.05
IS Sodhi,Middle,2019,44.0,30,2,5.0,8.8
IS Sodhi,Powerplay,2019,17.0,12,2,2.0,8.5
Imran Tahir,Death,2014,41.0,36,6,6.0,6.83
