bowler,phase,season,runs_conceded,legal_balls,wickets,overs,economy
CH Gayle,Middle,2009,74.0,60,0,10.0,7.4
CH Gayle,Middle,2010,33.0,24,1,4.0,8.25
CH Gayle,Middle,2011,145.0,132,4,22.0,6.59
CH Gayle,Middle,2012,31.0,18,0,3.0,10.33
CH Gayle,Middle,2013,8.0,6,0,1.0,8.0
CH Gayle,Middle,2015,15.0,12,0,2.0,7.5
CH Gayle,Middle,2016,36.0,30,2,5.0,7.2
CH Gayle,Powerplay,2009,15.0,12,0,2.0,7.5
CH Gayle,Powerplay,2010,88.0,54,2,9.0,9.78
CH Gayle,Powerplay,2011,35.0,36,1,6.0,5.83
CH Gayle,Powerplay,2016,24.0,18,0,3.0,8.0
CH Morris,Death,2013,142.0,96,8,16.0,8.88
CH Morris,Death,2015,159.0,102,7,17.0,9.35
CH Morris,Death,2016,117.0,96,11,16.0,7.31
CH Morris,Death,2017,101.0,78,8,13.0,7.77
CH Morris,Death,2018,55.0,30,1,5.0,11.0
CH Morris,Death,2019,126.0,90,10,15.0,8.4
CH Morris,Death,2021,233.0,154,19,25.67,9.08
CH Morris,Middle,2013,123.0,102,4,17.0,7.24
CH Morris,Middle,2015,32.0,42,3,7.0,4.57
CH Morris,Middle,2016,59.0,60,2,10.0,5.9
CH Morris,Middle,2017,37.0,24,1,4.0,9.25
CH Morris,Middle,2018,38.0,18,1,3.0,12.67
CH Morris,Middle,2019,75.0,42,1,7.0,10.71
CH Morris,Middle,2021,146.0,108,6,18.0,8.11
CH Morris,Powerplay,2013,136.0,102,5,17.0,8.0
CH Morris,Powerplay,2015,134.0,114,5,19.0,7.05
CH Morris,Powerplay,2016,132.0,108,3,18.0,7.33
CH Morris,Powerplay,2017,102.0,84,5,14.0,7.29
CH Morris,Powerplay,2018,50.0,36,1,6.0,8.33
CH Morris,Powerplay,2019,105.0,66,2,11.0,9.55
CH Morris,Powerplay,2021,207.0,174,4,29.0,7.14
CJ Anderson,Death,2014,41.0,18,2,3.0,13.67
CJ Anderson,Death,2017,69.0,36,1,6.0,11.5
CJ Anderson,Death,2018,89.0,34,4,5.67,15.7
CJ Anderson,Middle,2014,51.0,36,1,6.0,8.5
CJ Anderson,Middle,2015,12.0,12,0,2.0,6.0
CJ Anderson,Middle,2017,110.0,72,3,12.0,9.17
CJ Anderson,Middle,2018,26.0,18,1,3.0,8.67
CJ Anderson,Powerplay,2014,92.0,54,1,9.0,10.22
CJ Anderson,Powerplay,2015,21.0,12,1,2.0,10.5
CJ Dala,Middle,2018,17.0,12,0,2.0,8.5
CJ Dala,Powerplay,2018,17.0,6,0,1.0,17.0
CJ Green,Powerplay,2021,16.0,12,0,2.0,8.0
CJ Jordan,Death,2016,115.0,60,5,10.0,11.5
CJ Jordan,Death,2018,13.0,6,0,1.0,13.0
